"Nr okręgu";"Liczba głosów ważnych";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"Komitet Wyborczy Prawo i Sprawiedliwość";"Komitet Wyborczy Polska Jest Najważniejsza";"Komitet Wyborczy Sojusz Lewicy Demokratycznej";"Komitet Wyborczy Ruch Palikota";"Komitet Wyborczy Polskie Stronnictwo Ludowe";"Komitet Wyborczy Polska Partia Pracy - Sierpień 80";"Komitet Wyborczy Platforma Obywatelska RP";"Komitet Wyborczy Nasz Dom Polska-Samoobrona Andrzeja Leppera";"Komitet Wyborczy Nowa Prawica - Janusza Korwin-Mikke";"Komitet Wyborczy Prawica";"Komitet Wyborczy Wyborców Mniejszość Niemiecka"
"1";"344168";"344168";"95277";"6349";"45825";"39899";"17985";"2150";"136683";"0";"0";"0";"0"
"2";"225524";"225524";"54271";"4226";"20177";"28853";"13832";"1797";"102368";"0";"0";"0";"0"
"3";"496507";"496507";"127311";"8096";"26754";"47626";"21946";"2220";"250869";"0";"11685";"0";"0"
"4";"367624";"367624";"80632";"6929";"38001";"44447";"30509";"2259";"158938";"0";"5909";"0";"0"
"5";"351665";"351665";"91049";"5887";"35253";"37741";"33443";"2178";"140681";"0";"5433";"0";"0"
"6";"460155";"460155";"177543";"11924";"29799";"54139";"57606";"2294";"116252";"0";"8779";"1819";"0"
"7";"317929";"317929";"124084";"6892";"24513";"38296";"57882";"1787";"63005";"1470";"0";"0";"0"
"8";"332656";"332656";"72302";"5293";"34300";"38958";"25575";"1720";"148970";"0";"5538";"0";"0"
"9";"362263";"362263";"90558";"5865";"35069";"39204";"9750";"1703";"171750";"590";"7774";"0";"0"
"10";"261135";"261135";"103472";"4956";"23988";"23010";"34789";"1801";"66889";"0";"0";"2230";"0"
"11";"339900";"339900";"109205";"5866";"29933";"35623";"42671";"1924";"106601";"1388";"5713";"976";"0"
"12";"239369";"239369";"91220";"7055";"16438";"21137";"14074";"1463";"85670";"0";"0";"2312";"0"
"13";"506580";"506580";"156800";"10749";"27504";"45079";"22574";"2194";"224915";"0";"16765";"0";"0"
"14";"278846";"278846";"143543";"6041";"11750";"13022";"19387";"1001";"77809";"0";"4963";"1330";"0"
"15";"257950";"257950";"112982";"7909";"13863";"17017";"25833";"1201";"76688";"0";"0";"2457";"0"
"16";"276510";"276510";"93307";"6740";"20798";"23175";"51766";"2101";"78623";"0";"0";"0";"0"
"17";"258535";"258535";"103798";"4575";"19828";"22056";"36488";"1515";"67349";"0";"0";"2926";"0"
"18";"342304";"342304";"139926";"7435";"24418";"23490";"61136";"1917";"77181";"0";"5549";"1252";"0"
"19";"1017564";"1017564";"277577";"30964";"78020";"110589";"17755";"4060";"498599";"0";"0";"0";"0"
"20";"449884";"449884";"145893";"12151";"23739";"38482";"32064";"2085";"182123";"0";"11673";"1674";"0"
"21";"319666";"319666";"65739";"7121";"24723";"30919";"18816";"1726";"140641";"0";"0";"1967";"28014"
"22";"298030";"298030";"133320";"4487";"18407";"21044";"37702";"1018";"75403";"981";"4202";"1466";"0"
"23";"457321";"457321";"219629";"8393";"25649";"30718";"47832";"1541";"111871";"848";"8555";"2285";"0"
"24";"428723";"428723";"158572";"9616";"40603";"34397";"47338";"1669";"127224";"1205";"6820";"1279";"0"
"25";"415326";"415326";"102131";"8584";"25542";"37615";"19313";"2009";"219106";"1026";"0";"0";"0"
"26";"453828";"453828";"113647";"12423";"36190";"43264";"25485";"2574";"220245";"0";"0";"0";"0"
"27";"311455";"311455";"98152";"6822";"19881";"29338";"21143";"1913";"131471";"0";"0";"2735";"0"
"28";"224497";"224497";"61429";"4795";"23547";"30049";"19688";"1875";"78500";"0";"4614";"0";"0"
"29";"281188";"281188";"65724";"6527";"21932";"30320";"14028";"2385";"140272";"0";"0";"0";"0"
"30";"264048";"264048";"75504";"8448";"20908";"23804";"9206";"1712";"118524";"0";"5100";"842";"0"
"31";"402715";"402715";"98737";"15614";"25704";"43884";"11237";"3442";"195018";"0";"9079";"0";"0"
"32";"280320";"280320";"59453";"5856";"36460";"41504";"12281";"2185";"120530";"0";"0";"2051";"0"
"33";"432904";"432904";"138039";"6982";"42096";"38331";"85590";"2528";"109916";"1262";"6754";"1406";"0"
"34";"195660";"195660";"45403";"3430";"15091";"22659";"23870";"1340";"82904";"963";"0";"0";"0"
"35";"260032";"260032";"59996";"5276";"23020";"29122";"30713";"1643";"108522";"0";"0";"1740";"0"
"36";"338799";"338799";"82114";"5836";"40250";"34367";"43278";"1833";"125596";"0";"5525";"0";"0"
"37";"261920";"261920";"71795";"4751";"34289";"29236";"33590";"1242";"80857";"0";"5117";"1043";"0"
"38";"259953";"259953";"50023";"5440";"29638";"28633";"31192";"1801";"113226";"0";"0";"0";"0"
"39";"399997";"399997";"76772";"8387";"33764";"46750";"11960";"2010";"220354";"0";"0";"0";"0"
"40";"215033";"215033";"45558";"3641";"24474";"26582";"13756";"1516";"99506";"0";"0";"0";"0"
"41";"381020";"381020";"82529";"7062";"42165";"45111";"16545";"1815";"178124";"0";"6290";"1379";"0"
