"Nr OKW";"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Robert BIEDROŃ";"Krzysztof BOSAK";"Andrzej Sebastian DUDA";"Szymon Franciszek HOŁOWNIA";"Marek JAKUBIAK";"Władysław Marcin KOSINIAK-KAMYSZ";"Mirosław Mariusz PIOTROWSKI";"Paweł Jan TANAJNO";"Rafał Kazimierz TRZASKOWSKI";"Waldemar Włodzimierz WITKOWSKI";"Stanisław Józef ŻÓŁTEK";"Liczba obwodów"
2;"020101";"gmina miejska";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";27641;29513;9246;18395;1;126;189;185;3;0;0;0;182;18574;182;7;18567;53;19;34;0;18514;450;1131;6465;2899;32;255;13;19;7183;24;43;23
2;"020102";"gmina wiejska";"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";10296;11184;3354;6942;3;27;13;13;0;0;0;1;12;6954;12;0;6954;28;10;18;0;6926;132;506;2889;1217;7;118;8;5;2016;8;20;11
2;"020103";"gmina wiejska";"gm. Gromadka";"bolesławiecki";"dolnośląskie";4056;4302;1592;2464;3;10;10;9;0;0;0;0;9;2473;9;0;2473;12;4;8;0;2461;45;159;1365;261;3;54;0;4;561;3;6;4
2;"020104";"gmina miejsko-wiejska";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";10561;11579;4124;6437;0;19;64;61;6;0;2;0;53;6490;53;0;6490;35;17;18;0;6455;72;468;3254;1313;8;102;5;10;1204;6;13;12
2;"020105";"gmina wiejska";"gm. Osiecznica";"bolesławiecki";"dolnośląskie";4855;5356;1900;2955;0;45;16;13;0;0;0;0;13;2968;13;0;2968;15;3;12;0;2953;79;271;1237;476;1;46;2;3;823;9;6;7
2;"020106";"gmina wiejska";"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";6081;6620;2354;3727;3;12;23;23;8;0;0;0;15;3742;15;0;3742;16;5;11;0;3726;74;224;1843;560;1;58;1;9;945;2;9;6
4;"020201";"gmina miejska";"m. Bielawa";"dzierżoniowski";"dolnośląskie";21875;23495;8568;13307;16;70;112;106;6;0;1;0;99;13406;99;2;13404;35;18;17;0;13369;308;799;5518;2097;12;168;20;19;4386;12;30;22
4;"020202";"gmina miejska";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";23609;25596;7840;15768;6;56;132;128;4;0;3;2;119;15888;119;2;15886;59;16;43;0;15827;360;938;6236;2015;23;232;11;31;5939;19;23;23
4;"020203";"gmina miejsko-wiejska";"m. Pieszyce";"dzierżoniowski";"dolnośląskie";6888;7424;2862;4026;4;21;46;46;2;0;0;0;44;4070;44;0;4070;18;6;12;0;4052;96;256;1924;443;7;56;6;10;1238;3;13;9
4;"020204";"gmina miejska";"m. Piława Górna";"dzierżoniowski";"dolnośląskie";4514;4895;1809;2705;6;13;20;20;0;0;0;0;20;2725;20;0;2725;3;1;2;0;2722;53;225;1323;402;4;36;3;7;659;1;9;3
